,tailnum,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,PlaneYear
2378,N609AS,Corporation,BOEING,08/24/1999,737-790,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
2379,N609DL,Corporation,BOEING,06/21/2007,757-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
2380,N609SK,Corporation,BOMBARDIER INC,01/25/2002,CL-600-2C10,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
2381,N609SW,Corporation,BOEING,09/15/1995,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
2382,N610AA,Corporation,BOEING,10/04/1989,757-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1989
2383,N610AE,Corporation,EMBRAER,08/17/1998,EMB-145,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
2384,N610DL,Corporation,BOEING,06/22/2007,757-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
2385,N610NW,Corporation,MCDONNELL DOUGLAS,02/23/1996,DC-9-32,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1969
2386,N610WN,Corporation,BOEING,09/29/1995,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
2387,N611AA,Individual,MORSE GEORGE JR,05/05/1998,F85P-1,Valid,Fixed Wing Single-Engine,Reciprocating,1985
2388,N611AE,Corporation,EMBRAER,08/24/1998,EMB-145,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
2389,N611AS,Corporation,BOEING,10/07/1999,737-790,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
2390,N611DL,Corporation,BOEING,06/20/2007,757-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
2391,N611SK,Corporation,BOMBARDIER INC,03/27/2002,CL-600-2C10,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
2392,N611SW,Corporation,BOEING,10/20/1995,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
2393,N612AA,Corporation,BOEING,10/04/1989,757-223,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1989
2394,N612AE,Corporation,EMBRAER,09/18/1998,EMB-145,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
2395,N612AS,Corporation,BOEING,11/03/1999,737-790,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
2396,N612DL,Corporation,BOEING,06/15/2007,757-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
2397,N612JB,Corporation,AIRBUS,05/26/2005,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
2398,N612SW,Corporation,BOEING,11/01/1995,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
2399,N61304,Corporation,BOEING,04/04/2006,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
